retailer,diamond_type,shape,polish,symmetry,fluorescence,retail_price,price_carat,qualityScore,qualityMaxScore,cut,color,clarity,carat,report,price_2025,price_carat_2025
avignon diamonds,lab,round,Excellent,Excellent,None,2842.0,1359.81,18.0,18.0,super ideal,E,VVS2,2.09,IGI,2842.0,1359.81
cirrus gems,lab,round,Excellent,Excellent,None,2797.0,1338.28,18.0,18.0,super ideal,E,VVS2,2.09,IGI,2797.0,1338.28
ember star,lab,round,Excellent,Excellent,None,2794.11,1336.89,18.0,18.0,super ideal,E,VVS2,2.09,IGI,2794.11,1336.89
jane brear,lab,round,Excellent,Excellent,None,2805.0,1342.11,18.0,18.0,super ideal,E,VVS2,2.09,IGI,2805.0,1342.11
kiyo,lab,round,Excellent,Excellent,None,2789.0,1334.45,18.0,18.0,super ideal,E,VVS2,2.09,IGI,2789.0,1334.45
michelle kennedy,lab,round,Excellent,Excellent,None,2830.78,1354.44,18.0,18.0,super ideal,E,VVS2,2.09,IGI,2830.78,1354.44
simetría,lab,round,Excellent,Excellent,None,2809.55,1344.28,18.0,18.0,super ideal,E,VVS2,2.09,IGI,2809.55,1344.28
taiga gems,lab,round,Excellent,Excellent,None,2848.0,1362.68,18.0,18.0,super ideal,E,VVS2,2.09,IGI,2848.0,1362.68
temperley,lab,round,Excellent,Excellent,None,2831.75,1354.9,18.0,18.0,super ideal,E,VVS2,2.09,IGI,2831.75,1354.9
tierra mia diamonds,lab,round,Excellent,Excellent,None,2863.6,1370.14,18.0,18.0,super ideal,E,VVS2,2.09,IGI,2863.6,1370.14
verve jewels,lab,round,Excellent,Excellent,None,2822.0,1350.24,18.0,18.0,super ideal,E,VVS2,2.09,IGI,2822.0,1350.24
vespera gems,lab,round,Excellent,Excellent,None,2810.0,1344.5,18.0,18.0,super ideal,E,VVS2,2.09,IGI,2810.0,1344.5
white lily,lab,round,Excellent,Excellent,None,2830.78,1354.44,18.0,18.0,super ideal,E,VVS2,2.09,IGI,2830.78,1354.44
diamonds by zoya,lab,oval,Very Good,Very Good,None,312.0,557.14,15.0,15.0,super ideal,F,VS1,0.56,IGI,312.0,557.14
cirrus gems,lab,round,Excellent,Excellent,None,1358.0,771.59,18.0,18.0,ideal,G,VS2,1.76,IGI,1358.0,771.59
fabiola,lab,round,Excellent,Excellent,None,1380.0,784.09,18.0,18.0,ideal,G,VS2,1.76,IGI,1380.0,784.09
periwinkle stones,lab,round,Excellent,Excellent,None,1389.0,789.2,18.0,18.0,ideal,G,VS2,1.76,IGI,1389.0,789.2
white lily,lab,round,Excellent,Excellent,None,1660.0,943.18,18.0,18.0,ideal,G,VS2,1.76,IGI,1660.0,943.18
albert's creations,lab,round,Excellent,Excellent,None,3730.0,1492.0,18.0,18.0,super ideal,E,VS1,2.5,IGI,3730.0,1492.0
atkinson crafts,lab,round,Excellent,Excellent,None,3802.0,1520.8,18.0,18.0,super ideal,E,VS1,2.5,IGI,3802.0,1520.8
avignon diamonds,lab,round,Excellent,Excellent,None,3620.0,1448.0,18.0,18.0,super ideal,E,VS1,2.5,IGI,3620.0,1448.0
diamonds by zoya,lab,round,Excellent,Excellent,None,3549.0,1419.6,18.0,18.0,super ideal,E,VS1,2.5,IGI,3549.0,1419.6
ember star,lab,round,Excellent,Excellent,None,3573.0,1429.2,18.0,18.0,super ideal,E,VS1,2.5,IGI,3573.0,1429.2
jane brear,lab,round,Excellent,Excellent,None,3722.0,1488.8,18.0,18.0,super ideal,E,VS1,2.5,IGI,3722.0,1488.8
marlowe & co,lab,round,Excellent,Excellent,None,3718.0,1487.2,18.0,18.0,super ideal,E,VS1,2.5,IGI,3718.0,1487.2
michelle kennedy,lab,round,Excellent,Excellent,None,3755.13,1502.05,18.0,18.0,super ideal,E,VS1,2.5,IGI,3755.13,1502.05
n. b. diamonds,lab,round,Excellent,Excellent,None,3607.0,1442.8,18.0,18.0,super ideal,E,VS1,2.5,IGI,3607.0,1442.8
periwinkle stones,lab,round,Excellent,Excellent,None,3749.0,1499.6,18.0,18.0,super ideal,E,VS1,2.5,IGI,3749.0,1499.6
serenade diamonds,lab,round,Excellent,Excellent,None,3549.0,1419.6,18.0,18.0,super ideal,E,VS1,2.5,IGI,3549.0,1419.6
starlit stones,lab,round,Excellent,Excellent,None,3714.0,1485.6,18.0,18.0,super ideal,E,VS1,2.5,IGI,3714.0,1485.6
tamara,lab,round,Excellent,Excellent,None,3737.0,1494.8,18.0,18.0,super ideal,E,VS1,2.5,IGI,3737.0,1494.8
temperley,lab,round,Excellent,Excellent,None,3737.22,1494.89,18.0,18.0,super ideal,E,VS1,2.5,IGI,3737.22,1494.89
tierra mia diamonds,lab,round,Excellent,Excellent,None,3625.0,1450.0,18.0,18.0,super ideal,E,VS1,2.5,IGI,3625.0,1450.0
white lily,lab,round,Excellent,Excellent,None,3720.0,1488.0,18.0,18.0,super ideal,E,VS1,2.5,IGI,3720.0,1488.0
jane brear,lab,princess,Excellent,Excellent,None,890.83,832.55,15.0,15.0,super ideal,F,VVS2,1.07,IGI,890.83,832.55
lotus creation,lab,princess,Excellent,Excellent,None,849.33,793.77,15.0,15.0,super ideal,F,VVS2,1.07,IGI,849.33,793.77
meridian crafts,lab,princess,Excellent,Excellent,None,866.0,809.35,15.0,15.0,super ideal,F,VVS2,1.07,IGI,866.0,809.35
