retailer,diamond_type,shape,polish,symmetry,fluorescence,retail_price,price_carat,qualityScore,qualityMaxScore,cut,color,clarity,carat,report,price_2025,price_carat_2025
crown jewels,natural,round,Excellent,Excellent,None,474.0,1823.08,18.0,18.0,super ideal,E,VS2,0.26,GIA,474.0,1823.08
eccles diamonds,natural,round,Excellent,Excellent,None,481.0,1850.0,18.0,18.0,super ideal,E,VS2,0.26,GIA,481.0,1850.0
jane brear,natural,round,Excellent,Excellent,None,915.0,3519.23,18.0,18.0,super ideal,E,VS2,0.26,GIA,915.0,3519.23
michelle kennedy,natural,round,Very Good,Excellent,None,881.0,3388.46,18.0,18.0,super ideal,E,VS2,0.26,GIA,881.0,3388.46
temperley,natural,round,Excellent,Excellent,None,915.0,3519.23,18.0,18.0,super ideal,E,VS2,0.26,GIA,915.0,3519.23
white lily,natural,round,Excellent,Excellent,None,927.0,3565.38,18.0,18.0,super ideal,E,VS2,0.26,GIA,927.0,3565.38
alice designs jewelry,natural,princess,Excellent,Excellent,None,3506.0,3506.0,14.0,15.0,very good,G,VS1,1.0,GIA,3506.0,3506.0
aurora light,natural,princess,Excellent,Excellent,None,4770.0,4770.0,14.0,15.0,very good,G,VS1,1.0,GIA,4770.0,4770.0
helene mitchell,natural,princess,Very Good,Good,None,2968.0,2968.0,12.0,15.0,very good,G,VS1,1.0,GIA,2968.0,2968.0
isabel ervin,natural,princess,Very Good,Very Good,None,3915.0,3915.0,0.0,0.0,very good,G,VS1,1.0,GIA,3915.0,3915.0
jane brear,natural,princess,Very Good,Good,Faint,7825.0,7825.0,13.0,15.0,very good,G,VS1,1.0,GIA,7825.0,7825.0
michelle kennedy,natural,princess,Very Good,Good,None,2989.0,2989.0,13.0,15.0,very good,G,VS1,1.0,GIA,2989.0,2989.0
white lily,natural,princess,Excellent,Good,None,5471.0,5471.0,13.0,15.0,very good,G,VS1,1.0,GIA,5471.0,5471.0
alice designs jewelry,natural,oval,Excellent,Very Good,Faint,828.0,2070.0,15.0,15.0,ideal,F,VS2,0.4,GIA,828.0,2070.0
celestine jewels,natural,oval,Excellent,Very Good,Faint,715.0,1787.5,15.0,15.0,ideal,F,VS2,0.4,GIA,715.0,1787.5
constellation,natural,oval,Very Good,Very Good,Medium,710.0,1775.0,15.0,15.0,ideal,F,VS2,0.4,GIA,710.0,1775.0
eclipse diamonds,natural,oval,Excellent,Very Good,None,732.0,1830.0,15.0,15.0,ideal,F,VS2,0.4,GIA,732.0,1830.0
helene mitchell,natural,oval,Excellent,Very Good,None,823.0,2057.5,15.0,15.0,ideal,F,VS2,0.4,GIA,823.0,2057.5
jane brear,natural,oval,Excellent,Excellent,None,1793.0,4482.5,15.0,15.0,ideal,F,VS2,0.4,GIA,1793.0,4482.5
mayfair creations,natural,oval,Excellent,Excellent,None,811.0,2027.5,15.0,15.0,ideal,F,VS2,0.4,GIA,811.0,2027.5
white lily,natural,oval,Good,Very Good,None,1284.0,3210.0,14.0,15.0,ideal,F,VS2,0.4,GIA,1284.0,3210.0
beatrice & co,natural,round,Excellent,Excellent,Strong,367.0,1359.26,17.0,18.0,ideal,G,VS2,0.27,GIA,367.0,1359.26
crown jewels,natural,round,Excellent,Excellent,None,395.0,1462.96,17.0,18.0,ideal,G,VS2,0.27,GIA,395.0,1462.96
michelle kennedy,natural,round,Excellent,Very Good,None,798.0,2955.56,18.0,18.0,ideal,G,VS2,0.27,GIA,798.0,2955.56
michelle's creations,natural,round,Excellent,Excellent,None,446.0,1651.85,18.0,18.0,ideal,G,VS2,0.27,GIA,446.0,1651.85
temperley,natural,round,Excellent,Excellent,Medium,714.0,2644.44,18.0,18.0,ideal,G,VS2,0.27,GIA,714.0,2644.44
white lily,natural,round,Very Good,Excellent,None,873.0,3233.33,18.0,18.0,ideal,G,VS2,0.27,GIA,873.0,3233.33
crown jewels,natural,round,Excellent,Excellent,None,1224.0,2147.37,18.0,18.0,super ideal,H,IF,0.57,GIA,1224.0,2147.37
helene mitchell,natural,round,Excellent,Very Good,Medium,1221.0,2142.11,18.0,18.0,super ideal,H,IF,0.57,GIA,1221.0,2142.11
jane brear,natural,round,Excellent,Excellent,None,2392.0,4196.49,18.0,18.0,super ideal,H,IF,0.57,GIA,2392.0,4196.49
michelle kennedy,natural,round,Excellent,Excellent,None,2335.0,4096.49,18.0,18.0,super ideal,H,IF,0.57,GIA,2335.0,4096.49
sophia stones,natural,round,Excellent,Excellent,None,1405.0,2464.91,18.0,18.0,super ideal,H,IF,0.57,GIA,1405.0,2464.91
temperley,natural,round,Excellent,Very Good,None,2355.0,4131.58,17.0,17.0,super ideal,H,IF,0.57,GIA,2355.0,4131.58
alice designs jewelry,natural,pear,Excellent,Very Good,None,2275.0,3159.72,15.0,15.0,super ideal,D,SI1,0.72,GIA,2275.0,3159.72
helene mitchell,natural,pear,Excellent,Excellent,None,1756.0,2438.89,15.0,15.0,super ideal,D,SI1,0.72,GIA,1756.0,2438.89
jane brear,natural,pear,Excellent,Very Good,Medium,2577.0,3579.17,14.0,15.0,super ideal,D,SI1,0.72,GIA,2577.0,3579.17
michelle kennedy,natural,pear,Excellent,Very Good,Medium,2529.0,3512.5,15.0,15.0,super ideal,D,SI1,0.72,GIA,2529.0,3512.5
temperley,natural,pear,Excellent,Very Good,None,2672.0,3711.11,15.0,15.0,super ideal,D,SI1,0.72,GIA,2672.0,3711.11
white lily,natural,pear,Excellent,Very Good,Faint,2509.0,3484.72,15.0,15.0,super ideal,D,SI1,0.72,GIA,2509.0,3484.72
celestine jewels,natural,round,Excellent,Very Good,Medium,461.0,1152.5,14.0,18.0,very good,I,SI2,0.4,GIA,461.0,1152.5
francesca,natural,round,Very Good,Excellent,None,648.0,1620.0,17.0,18.0,very good,I,SI2,0.4,GIA,648.0,1620.0
helene mitchell,natural,round,Excellent,Very Good,None,468.0,1170.0,14.0,18.0,very good,I,SI2,0.4,GIA,468.0,1170.0
jane brear,natural,round,Very Good,Very Good,None,956.0,2390.0,15.0,18.0,very good,I,SI2,0.4,GIA,956.0,2390.0
luna diamonds,natural,round,Good,Very Good,Faint,533.0,1332.5,14.0,18.0,very good,I,SI2,0.4,GIA,533.0,1332.5
michelle kennedy,natural,round,Good,Good,Medium,982.0,2455.0,15.0,18.0,very good,I,SI2,0.4,GIA,982.0,2455.0
michelle's creations,natural,round,Excellent,Very Good,None,480.0,1200.0,15.0,18.0,very good,I,SI2,0.4,GIA,480.0,1200.0
temperley,natural,round,Excellent,Excellent,Faint,906.0,2265.0,15.0,18.0,very good,I,SI2,0.4,GIA,906.0,2265.0
white lily,natural,round,Excellent,Excellent,None,830.0,2075.0,15.0,18.0,very good,I,SI2,0.4,GIA,830.0,2075.0
belle diamonds,natural,cushion,Excellent,Very Good,None,10453.0,6112.87,15.0,15.0,super ideal,G,VS2,1.71,GIA,10453.0,6112.87
