cut,color,clarity,carat,report,shape,price
Ideal,F,VS1,1.72,IGI,Round,5520.0
Ideal,J,VS2,2.06,IGI,Oval,4212.0
Super Ideal,H,VS2,2.29,IGI,Round,5940.0
Ideal,I,SI1,0.93,IGI,Emerald,1180.0
Ideal,J,SI1,2.05,GCAL,Round,3560.0
Very Good,F,VS1,0.53,IGI,Oval,645.0
Ideal,E,SI2,1.51,IGI,Emerald,2810.0
Ideal,H,SI1,0.53,IGI,Round,570.0
Ideal,G,VS2,2.36,GCAL,Oval,7510.0
Super Ideal,I,VVS2,0.35,IGI,Round,380.0
Very Good,D,VS1,0.34,IGI,Pear,380.0
Ideal,E,SI2,2.01,IGI,Round,4920.0
Super Ideal,J,VS2,1.35,IGI,Round,1850.0
Ideal,I,VVS1,1.21,IGI,Round,2290.0
Super Ideal,G,VS1,2.06,IGI,Emerald,7380.0
Very Good,J,SI2,1.72,IGI,Oval,2620.0
Very Good,F,VS1,1.2,IGI,Oval,2610.0
Ideal,I,VS2,0.57,IGI,Pear,560.0
Ideal,I,SI2,0.93,IGI,Emerald,1000.0
Ideal,F,VVS2,0.74,IGI,Emerald,1215.0
Super Ideal,G,SI1,1.2,IGI,Round,2330.0
Ideal,D,SI2,1.22,IGI,Round,2140.0
Ideal,I,VS1,1.71,IGI,Round,3498.75
Ideal,F,VVS2,1.6,IGI,Round,5542.5
Ideal,G,SI1,0.6,IGI,Pear,595.0
Very Good,G,SI1,1.01,IGI,Cushion,1610.0
Super Ideal,J,SI2,2.63,IGI,Oval,4980.0
Ideal,E,VVS1,0.59,IGI,Pear,910.0
Good,F,VS2,1.58,IGI,Heart,4160.0
Very Good,H,SI1,1.51,IGI,Round,2890.0
Super Ideal,F,VS1,1.01,IGI,Pear,2210.0
Very Good,E,VS1,0.55,IGI,Oval,710.0
Ideal,H,VVS2,0.31,IGI,Pear,310.0
Ideal,E,VS2,1.53,GCAL,Princess,4190.0
Good,H,VVS2,0.31,IGI,Pear,310.0
Ideal,D,VVS2,1.32,IGI,Pear,4820.0
Ideal,G,VVS2,1.52,GCAL,Round,4410.0
Super Ideal,G,SI2,0.36,IGI,Round,370.0
Very Good,G,SI2,2.01,IGI,Pear,6090.0
Ideal,F,VS2,1.21,IGI,Round,2468.0
Very Good,F,SI1,0.6,IGI,Cushion,610.0
Very Good,H,SI1,1.5,IGI,Round,2922.5
Very Good,J,VS1,2.05,GCAL,Emerald,4270.0
Good,D,SI2,1.02,IGI,Round,2370.0
Very Good,E,SI1,0.62,IGI,Cushion,650.0
Super Ideal,G,VVS2,0.5,IGI,Princess,590.0
Very Good,G,SI1,1.07,GCAL,Round,1770.0
Super Ideal,H,VVS2,0.42,IGI,Round,470.0
Very Good,I,VVS2,0.73,IGI,Oval,930.0
Ideal,I,VS1,1.62,IGI,Round,3121.25
Super Ideal,H,VS2,1.53,IGI,Round,3577.5
Super Ideal,F,VVS1,0.36,IGI,Round,440.0
Good,F,VS2,0.54,IGI,Cushion,600.0
Ideal,G,SI1,2.7,IGI,Cushion,8800.0
Very Good,D,VS2,0.49,IGI,Round,940.0
Super Ideal,E,VS1,3.15,IGI,Emerald,17440.0
Ideal,I,VVS1,0.81,IGI,Princess,1080.0
Ideal,G,VS2,1.13,GCAL,Emerald,2050.0
Good,E,SI1,0.54,IGI,Radiant,550.0
Ideal,G,VS1,1.41,IGI,Marquise,3210.0
Super Ideal,G,VS1,2.56,IGI,Round,10020.0
Ideal,F,VS2,0.57,IGI,Pear,640.0
Ideal,J,SI1,1.63,IGI,Oval,2440.0
Ideal,E,SI1,0.53,IGI,Round,640.0
Very Good,H,VS1,2.04,IGI,Round,6260.0
Ideal,G,VS1,1.58,IGI,Pear,4180.0
Super Ideal,F,VVS1,0.47,IGI,Pear,500.0
Super Ideal,E,VS1,1.51,IGI,Emerald,4780.0
Ideal,E,VS1,1.03,IGI,Emerald,2380.0
Very Good,F,VS2,1.0,IGI,Emerald,1935.0
Very Good,F,VS2,3.02,IGI,Cushion,13500.0
Ideal,E,SI1,3.01,IGI,Cushion,10950.0
Super Ideal,G,VVS2,1.01,GCAL,Round,2410.0
Super Ideal,J,SI1,1.24,IGI,Round,1782.5
Very Good,G,SI1,0.33,IGI,Cushion,320.0
Super Ideal,J,VS1,1.17,IGI,Round,1786.67
Ideal,G,VS1,0.71,GCAL,Round,1010.0
Ideal,E,VS1,2.61,IGI,Cushion,11930.0
Super Ideal,I,VS2,1.04,GCAL,Round,1610.0
Super Ideal,G,VS1,1.51,IGI,Pear,4350.0
Ideal,D,VS1,1.01,GCAL,Round,2650.0
Ideal,G,VVS1,1.62,IGI,Round,5530.0
Super Ideal,F,SI1,0.47,IGI,Pear,460.0
Super Ideal,I,VS1,1.51,IGI,Oval,3070.0
Ideal,G,VS1,1.04,IGI,Princess,2130.0
Ideal,F,VVS2,1.0,IGI,Emerald,2320.0
Ideal,J,VS2,2.08,GCAL,Round,4660.0
Ideal,J,SI2,2.5,IGI,Round,4323.33
Very Good,F,VS2,0.71,IGI,Oval,1157.5
Ideal,J,VS2,1.52,IGI,Round,2596.67
Super Ideal,D,SI1,1.0,IGI,Round,1943.75
Ideal,D,SI1,0.74,IGI,Pear,1170.0
Very Good,G,VS2,0.82,GCAL,Pear,1140.0
Very Good,E,SI1,1.01,IGI,Asscher,1723.08
Super Ideal,H,SI1,1.51,IGI,Oval,3370.0
Very Good,E,SI1,1.01,IGI,Radiant,1720.0
Very Good,F,VS1,3.07,IGI,Emerald,15680.0
Ideal,F,VS1,0.38,IGI,Pear,390.0
Super Ideal,E,VS1,0.37,IGI,Round,430.0
Very Good,H,VS2,0.79,IGI,Pear,1050.0
Super Ideal,J,SI2,2.15,IGI,Oval,3930.0
Super Ideal,I,SI2,1.79,IGI,Round,2830.0
Very Good,E,VS1,0.47,IGI,Radiant,490.0
Very Good,D,VS2,0.5,IGI,Round,736.0
Ideal,H,SI2,0.73,IGI,Princess,800.0
Ideal,E,VS1,3.17,GCAL,Cushion,17610.0
Very Good,E,VS1,1.02,IGI,Heart,2340.0
Ideal,H,VS2,0.51,IGI,Round,606.67
Ideal,H,SI1,0.36,IGI,Pear,340.0
Very Good,G,VVS2,0.33,IGI,Oval,340.0
Super Ideal,G,VS1,0.61,IGI,Princess,730.0
