cut,color,clarity,carat,report,shape,price
Ideal,G,SI2,1.7,IGI,Pear,7780.0
Ideal,G,VS2,0.6,GIA,Pear,1700.0
Good,E,SI1,0.4,GIA,Heart,910.0
Super Ideal,D,VVS2,1.4,GIA,Round,13270.0
Ideal,E,SI2,1.01,IGI,Oval,4135.0
Super Ideal,I,SI1,0.83,GIA,Round,2950.0
Super Ideal,G,VS1,0.53,GIA,Round,2240.0
Super Ideal,G,VS1,0.5,GIA,Marquise,1565.0
Super Ideal,J,VVS1,1.03,GIA,Asscher,3570.0
Ideal,F,SI2,1.5,GIA,Oval,8397.14
Ideal,I,VS1,0.52,IGI,Round,1670.0
Ideal,F,VVS1,0.7,GIA,Princess,2220.0
Super Ideal,H,VVS1,2.16,GIA,Princess,17190.0
Ideal,E,VVS2,0.31,GIA,Round,946.0
Ideal,D,IF,0.9,GIA,Marquise,7300.0
Good,D,VS1,0.5,GIA,Princess,1260.0
Super Ideal,J,VS2,2.2,GIA,Round,13595.0
Ideal,G,SI1,0.8,GIA,Heart,2220.0
Super Ideal,F,SI2,0.3,GIA,Emerald,450.0
Super Ideal,G,VS1,1.5,GIA,Princess,10230.0
Very Good,I,SI2,2.0,GIA,Round,10590.0
Super Ideal,G,VS1,1.5,GIA,Round,12862.0
Super Ideal,G,VS1,0.45,GIA,Round,1418.95
Very Good,H,VS1,0.55,GIA,Marquise,1270.0
Super Ideal,H,VVS2,1.01,GIA,Emerald,5020.0
Super Ideal,H,VVS1,1.7,GIA,Round,14350.0
Ideal,I,VS1,0.35,GIA,Round,820.0
Super Ideal,H,VS1,1.11,GIA,Round,6670.0
Super Ideal,E,SI2,0.91,GIA,Emerald,2900.0
Super Ideal,F,VS1,1.21,GIA,Oval,9670.0
Ideal,E,VS2,0.41,GIA,Marquise,975.0
Very Good,H,VS2,0.32,IGI,Round,720.0
Ideal,F,VS1,1.29,GIA,Oval,8400.0
Ideal,H,VS2,0.35,GIA,Emerald,560.0
Ideal,H,SI1,1.0,GIA,Pear,4046.67
Ideal,G,SI2,1.2,GIA,Oval,6261.54
Super Ideal,H,VS2,0.87,GIA,Round,3970.0
Super Ideal,F,VS2,1.01,GIA,Cushion,4770.0
Super Ideal,H,VS1,1.06,GIA,Round,7160.0
Ideal,G,VVS2,0.3,GIA,Princess,535.0
Good,D,VS2,0.31,GIA,Oval,580.0
Very Good,F,VS1,1.01,GIA,Emerald,4880.0
Ideal,G,SI2,0.8,GIA,Heart,1960.0
Ideal,E,VS1,1.04,GIA,Pear,5220.0
Super Ideal,I,SI2,2.71,GIA,Emerald,14790.0
Ideal,E,VS1,0.34,GIA,Oval,720.0
Ideal,J,SI2,1.28,GIA,Round,5680.0
Super Ideal,I,VVS2,0.43,GIA,Round,1150.0
Super Ideal,H,VS1,0.66,GIA,Round,2630.0
Ideal,I,SI1,0.9,GIA,Emerald,2160.0
Super Ideal,D,VVS2,0.6,GIA,Round,2864.17
Ideal,G,IF,0.3,GIA,Emerald,635.0
Ideal,F,SI1,0.72,GIA,Pear,2080.0
Ideal,D,VS2,0.52,GIA,Pear,1270.0
Very Good,G,SI2,0.53,GIA,Emerald,690.0
Super Ideal,H,VS2,1.11,GIA,Round,6495.0
Super Ideal,I,SI1,0.75,GIA,Round,2600.0
Ideal,I,VS2,0.71,GIA,Cushion,1830.0
Ideal,I,SI1,0.51,GIA,Princess,890.0
Ideal,D,VS2,0.8,GIA,Oval,3253.33
Super Ideal,E,VVS1,1.2,GIA,Emerald,9240.0
Very Good,I,VS1,0.91,GIA,Cushion,2420.0
Super Ideal,H,IF,0.51,GIA,Round,2039.29
Super Ideal,I,SI1,0.5,GIA,Pear,880.0
Very Good,E,SI1,0.4,GIA,Round,1013.89
Ideal,D,VS1,0.5,GIA,Emerald,1508.7
Super Ideal,E,VS1,1.34,GIA,Round,12610.0
Ideal,E,VS1,0.8,GIA,Round,3996.67
Very Good,E,SI1,0.46,GIA,Pear,760.0
Super Ideal,D,VS1,1.4,GIA,Round,13256.67
Very Good,G,VVS1,0.95,GIA,Pear,5010.0
Very Good,G,SI1,0.68,GIA,Marquise,1510.0
Very Good,E,VS1,0.57,GIA,Pear,1770.0
Super Ideal,I,IF,0.6,GIA,Round,1950.0
Ideal,F,VVS2,0.41,GIA,Pear,950.0
Super Ideal,F,VVS1,0.53,GIA,Emerald,1657.5
Very Good,D,VS1,0.5,GIA,Oval,1540.0
Ideal,F,VVS1,0.71,GIA,Emerald,2170.0
Ideal,H,VS2,1.8,GIA,Princess,11760.0
Super Ideal,I,VVS1,1.51,GIA,Round,9150.0
Ideal,G,VVS2,0.4,GIA,Round,1168.46
Ideal,E,VS2,0.56,GIA,Asscher,1270.0
Very Good,H,VVS1,0.7,GIA,Round,2779.5
Ideal,D,VS1,0.32,GIA,Pear,796.67
Ideal,H,VS1,0.91,GIA,Cushion,2880.0
Super Ideal,D,VS2,1.4,GIA,Round,13510.0
Ideal,E,VS1,0.5,GIA,Cushion,1350.0
Good,I,VS2,0.31,GIA,Princess,490.0
Ideal,G,VS1,0.6,GIA,Emerald,1600.0
Super Ideal,F,VS1,0.52,GIA,Princess,1520.0
Super Ideal,H,VVS2,0.29,GIA,Round,670.0
Super Ideal,G,VS1,1.2,GIA,Asscher,5700.0
Ideal,I,VS2,1.52,GIA,Emerald,7430.0
Very Good,H,VS1,0.5,GIA,Princess,1230.0
Super Ideal,F,VVS1,1.04,GIA,Round,9060.0
Super Ideal,H,SI2,0.8,GIA,Round,2870.0
Very Good,E,VVS1,0.47,GIA,Pear,1670.0
Ideal,G,SI2,0.8,GIA,Princess,1860.0
Good,F,VVS2,1.2,GIA,Heart,7960.0
Ideal,H,SI1,0.83,GIA,Round,3020.0
Very Good,H,VVS1,1.5,GIA,Round,10620.0
Very Good,D,VS2,0.33,GIA,Oval,780.0
Good,I,VS1,0.3,IGI,Round,680.0
Super Ideal,D,VVS1,0.43,GIA,Round,1573.75
Very Good,J,SI1,1.0,GIA,Emerald,2710.0
Good,H,SI2,1.2,GIA,Radiant,5340.0
Good,E,VS2,0.45,GIA,Princess,910.0
Ideal,D,VS2,0.59,GIA,Pear,1860.0
Ideal,G,VS2,0.36,GIA,Pear,670.0
Super Ideal,D,VVS2,1.5,GIA,Cushion,11410.0
Ideal,F,SI2,0.48,GIA,Round,1080.0
Very Good,G,SI2,0.37,GIA,Oval,650.0
Very Good,H,IF,0.7,GIA,Round,2900.0
Ideal,E,SI2,0.48,GIA,Emerald,840.0
Super Ideal,F,SI1,0.49,GIA,Round,1420.0
Very Good,G,VVS2,0.3,GIA,Emerald,620.0
Ideal,H,SI1,0.42,GIA,Pear,750.0
Very Good,E,VS1,0.7,GIA,Emerald,2385.0
Ideal,E,VVS1,1.01,GIA,Emerald,5917.5
Super Ideal,G,VS2,0.34,GIA,Princess,640.0
Ideal,D,VS2,0.8,GIA,Emerald,2700.0
Ideal,H,SI2,2.01,IGI,Oval,9800.0
Very Good,F,VS2,0.72,IGI,Cushion,2980.0
Very Good,H,VS2,0.5,GIA,Princess,1080.0
Good,D,SI1,0.75,GIA,Pear,2450.0
Super Ideal,E,SI2,0.59,GIA,Princess,1020.0
Super Ideal,I,VS2,0.37,GIA,Round,742.5
Good,H,SI1,0.3,GIA,Pear,470.0
Very Good,I,VVS1,0.41,GIA,Round,835.0
Ideal,G,VVS1,0.93,GIA,Princess,3820.0
Very Good,E,VS1,0.6,GIA,Emerald,1690.0
Ideal,J,SI2,1.29,GIA,Oval,4506.67
Very Good,J,VS2,0.71,GIA,Round,1780.0
Super Ideal,I,VS1,0.6,GIA,Round,1761.11
Very Good,F,VS2,0.29,GIA,Princess,530.0
Ideal,F,VS2,1.0,GIA,Pear,5666.67
Super Ideal,I,VVS1,0.7,GIA,Oval,2315.0
Ideal,F,SI2,1.01,GIA,Cushion,3173.33
Very Good,D,VS1,1.0,GIA,Oval,6113.33
Very Good,D,VVS2,0.7,GIA,Round,3254.29
Good,F,VS1,0.7,GIA,Round,2734.0
Very Good,I,VVS2,0.58,GIA,Oval,1530.0
Ideal,E,VS2,0.37,GIA,Pear,675.0
Super Ideal,D,IF,0.35,GIA,Round,1542.31
Very Good,D,SI1,0.81,GIA,Oval,3080.0
Super Ideal,E,VS2,1.81,GIA,Round,18030.0
Good,J,VVS1,0.4,GIA,Round,870.0
Ideal,F,VS2,0.4,GIA,Emerald,870.0
Ideal,J,VS1,0.63,GIA,Princess,1500.0
Super Ideal,D,IF,0.25,GIA,Round,1020.0
Ideal,J,SI2,0.42,GIA,Marquise,750.0
Super Ideal,H,VVS2,0.55,GIA,Round,2055.0
Ideal,I,SI2,1.2,IGI,Princess,3310.0
Very Good,E,VVS2,0.37,GIA,Princess,820.0
Ideal,E,VVS2,0.38,GIA,Round,1135.0
Super Ideal,F,VS1,1.65,GIA,Asscher,10600.0
Super Ideal,E,VS1,1.15,GIA,Round,11270.0
Ideal,G,VVS2,0.8,GIA,Round,4100.0
Good,D,SI1,1.0,GIA,Round,5030.0
Super Ideal,D,SI2,1.51,GIA,Pear,7740.0
Super Ideal,H,SI2,1.8,IGI,Oval,7640.0
Super Ideal,E,VS1,0.63,GIA,Round,2918.67
Ideal,F,SI1,1.01,GIA,Heart,3670.0
Ideal,H,SI1,1.11,GIA,Pear,4030.0
Ideal,H,SI2,1.0,IGI,Round,3604.44
Good,G,SI2,1.2,IGI,Oval,3960.0
Ideal,G,SI1,0.3,GIA,Princess,500.83
Very Good,H,SI2,0.31,GIA,Round,530.0
Ideal,D,VS1,1.0,GIA,Emerald,5790.0
Ideal,E,SI1,0.59,GIA,Emerald,1420.0
Super Ideal,G,VVS2,1.0,GIA,Cushion,4960.0
Good,G,SI2,0.71,GIA,Princess,1930.0
Very Good,D,SI2,2.0,GIA,Oval,16560.0
Super Ideal,D,SI1,1.64,GIA,Round,13490.0
Very Good,F,VS2,0.3,GIA,Emerald,595.0
Good,E,VVS2,0.47,GIA,Emerald,700.0
Super Ideal,G,VVS2,0.86,GIA,Round,4680.0
Ideal,H,VS1,1.54,GIA,Cushion,8290.0
Ideal,F,VVS2,1.01,GIA,Radiant,5250.0
Very Good,E,SI2,0.8,GIA,Round,2526.67
Very Good,F,VS2,0.6,GIA,Round,2070.0
Very Good,F,VVS1,0.71,GIA,Pear,2796.67
Ideal,I,VS2,1.03,GIA,Cushion,4065.0
Ideal,E,SI1,0.35,GIA,Oval,743.33
Ideal,E,VS2,0.75,GIA,Emerald,2500.0
Very Good,I,VVS2,1.51,GIA,Round,9330.0
Ideal,D,VVS1,0.6,GIA,Round,2760.0
Ideal,I,VS1,1.51,GIA,Pear,9000.0
Good,E,VVS2,0.32,GIA,Marquise,860.0
Good,E,SI2,0.71,GIA,Princess,1690.0
Good,H,VVS1,0.3,GIA,Round,706.67
Very Good,I,SI1,0.65,GIA,Pear,1450.0
Ideal,I,SI2,0.59,GIA,Oval,1060.0
Ideal,H,SI2,1.51,IGI,Cushion,4850.0
Very Good,H,VS2,0.41,GIA,Pear,940.0
Super Ideal,G,SI2,0.44,GIA,Round,885.0
Ideal,F,SI2,1.51,GIA,Oval,9104.0
Super Ideal,E,VVS2,0.38,GIA,Emerald,900.0
Ideal,F,VS2,0.31,GIA,Pear,600.0
Super Ideal,D,SI2,1.01,GIA,Oval,4922.5
Super Ideal,H,SI2,1.5,GIA,Round,8642.22
